feature,p75_ES,p75_NQ,facteur,sens,seuil_partageable
p99_trade_size_proxy,1.8261,1.63455,1.1171882169404423,ES plus grand,True
sess_range_atr,3.8198,3.4463,1.108377100078345,ES plus grand,True
ctx_ib_extension_ratio,2.202532,1.989362,1.1071549572174395,ES plus grand,True
ctx_range_vs_atr_10,0.043317,0.0392135,1.104645083963431,ES plus grand,True
ib_range_atr,2.047,2.2566,1.1023937469467513,NQ plus grand,True
bars_since_last_sweep_low,11.0,10.0,1.1,ES plus grand,True
fvg_up_active,11.0,10.0,1.1,ES plus grand,True
dist_vwap_m_atr,2.5451,2.3449,1.0853767751290035,ES plus grand,True
range_extension_above_ib_atr,0.3768,0.4061,1.07776008492569,NQ plus grand,True
dist_pdl_pct,0.208648,0.2234595,1.0709879797553774,NQ plus grand,True
im_cross_delta_weighted_5,46.0,43.0,1.069767441860465,ES plus grand,True
dist_ny_open_pct,0.191124,0.204044,1.0676000920868127,NQ plus grand,True
dist_vwap_m_sd1d_pct,-0.3,-0.32,1.0666666666666667,NQ plus grand,True
range_pos_va,100.0,94.1176,1.0625005312502658,ES plus grand,True
bars_since_retest_low,17.0,16.0,1.0625,ES plus grand,True
rvol_zscore,0.5478,0.5178499999999999,1.0578352804866276,ES plus grand,True
ctx_vol_z_20,0.54755,0.5178435,1.0573657871538409,ES plus grand,True
range_pos,1.0,0.946504,1.0565195709685327,ES plus grand,True
bars_in_va,18.0,19.0,1.0555555555555556,NQ plus grand,True
ctx_vol_z_5,0.696853,0.666885,1.0449372830398045,ES plus grand,True
pct_in_range,0.707071,0.7378145,1.043480074843969,NQ plus grand,True
im_volume_lead,132.45,138.2,1.0434126085315214,NQ plus grand,True
ctx_vol_sell_buy_ratio_5,1.09529,1.0648235,1.0286117840186662,ES plus grand,True
ib_position_pct,0.7368,0.7572,1.0276872964169381,NQ plus grand,True
dist_cash_low_atr,0.408598,0.418145,1.0233652636576782,NQ plus grand,True
ask_pct,0.5337,0.54545,1.022016113921679,NQ plus grand,True
buy_sell_ratio,0.5337,0.54545,1.022016113921679,NQ plus grand,True
va_position_pct,0.7561,0.7724,1.0215579949742097,NQ plus grand,True
bar_body_pct,47.37,46.385000000000005,1.0212353131400236,ES plus grand,True
dist_pdl_atr,0.722622,0.735148,1.0173340972181861,NQ plus grand,True
im_ltr_slope_diff,0.057505,0.05827,1.0133031910268673,NQ plus grand,True
large_trader_ratio,1.1505,1.1645500000000002,1.0122120817036073,NQ plus grand,True
im_rolling_correlation_10,0.7792225,0.773425,1.0074958787212722,ES plus grand,True
rvol,1.1953,1.1866500000000002,1.0072894282223064,ES plus grand,True
bid_pct,0.5376,0.5346,1.005611672278339,ES plus grand,True
dist_vix_call,10.06,10.055,1.0004972650422677,ES plus grand,True
bars_since_boot,15246.0,15248.5,1.0001639774367046,NQ plus grand,True
_phase3_bars_processed,15246.0,15248.5,1.0001639774367046,NQ plus grand,True
aggressor_imbalance,0.027027,0.027026,1.0000370014060533,ES plus grand,True
ts_event_ns,1.78818516e+18,1.78818525e+18,1.0000000503303583,NQ plus grand,True
ts,1788185160000.0,1788185250000.0,1.0000000503303583,NQ plus grand,True
ts_raw_ms,1788185160000.0,1788185249500.0,1.0000000500507453,NQ plus grand,True
big_ask_cluster_20t_t1,10.0,10.0,1.0,ES plus grand,True
dist_cluster_nearest_dn,-1.0,-1.0,1.0,ES plus grand,True
n_clusters_20t,20.0,20.0,1.0,ES plus grand,True
n_clusters_50t,20.0,20.0,1.0,ES plus grand,True
open_zone,6.0,6.0,1.0,ES plus grand,True
open_bias_conf,0.65,0.65,1.0,ES plus grand,True
fvg_dn_active,14.0,14.0,1.0,ES plus grand,True
im_cross_delta_agreement_5,0.6,0.6,1.0,ES plus grand,True
dist_cur_val_pct,-0.01,-0.01,1.0,ES plus grand,True
profile_overlap_pct,1.0,1.0,1.0,ES plus grand,True
big_bid_cluster_20t_t1,10.0,10.0,1.0,ES plus grand,True
high_ask_vol_pct,1.0,1.0,1.0,ES plus grand,True
